Flexsim Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object,Class,stats_contentmin,stats_contentmax,stats_contentavg,stats_input,stats_staytimeavg,idle,waiting for operator,travel empty,travel loaded,loading,unloading,utilize,empty,blocked,processing,offset travel empty,offset travel loaded,stats_content,stats_output,stats_staytimemin,stats_staytimemax,state_current,generating,collecting,releasing,waiting for transporter,breakdown,scheduled down,down,conveying,setup
Material Supermarket _Loading Point_,Queue,2694,3982,3335.70781,0,218844.0045,0,0,0,0,0,0,0,0,0,0,0,0,2694,1288,7286.817374,428635.1961,8,0,0,424800,0,0,0,0,0,0
Line 2 Workstation 1,Processor,0,1,0.993518,129,3275.541423,2753.391535,0,0,0,0,0,0,0,0,421571.647,0,0,1,129,871.134117,6057.00625,2,0,0,0,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 1,Queue,2,131,66.567221,129,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 1,Queue,2,128,65.52122,126,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 2,Queue,1,3,2.325687,129,7623.546297,0,0,0,0,0,0,0,0,0,0,0,0,1,130,2666.054904,11654.66414,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 3,Queue,0,3,2.278252,132,7279.354289,0,0,0,0,0,0,0,1562.120176,0,0,0,0,3,131,2127.074788,13843.53414,8,0,0,423221.5538,0,0,0,0,0,0
Line 1 WIP Buffer Area 4,Queue,0,3,2.263564,133,7228.150038,0,0,0,0,0,0,0,404.025604,0,0,0,0,2,133,2187.043584,13288.51433,8,0,0,424379.8052,0,0,0,0,0,0
Line 1 WIP Buffer Area 5,Queue,0,3,2.27995,128,7526.1333,0,0,0,0,0,0,0,2035.050747,0,0,0,0,1,130,2120.438697,13966.57621,8,0,0,422718.2382,0,0,0,0,0,0
Line 1 Workstation 2,Processor,0,1,0.993856,130,3253.263506,2609.957622,0,0,0,0,0,0,0,0,421711.3566,0,0,1,130,1264.800237,6491.31489,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 3,Processor,0,1,0.99381,131,3194.511227,2629.461563,0,0,0,0,0,0,0,0,421688.1708,0,0,1,131,278.267418,6376.740842,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 4,Processor,0,1,0.993719,133,3173.738362,2668.269431,0,0,0,0,0,0,0,0,421641.9978,0,0,1,133,980.324724,5739.85279,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 5,Processor,0,1,0.993855,130,3268.626206,2610.590928,0,0,0,0,0,0,0,0,421710.7236,0,0,1,130,551.032248,5757.845838,2,0,0,0,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 2,Queue,2,132,66.340522,130,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 3,Queue,2,133,67.309636,131,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 4,Queue,2,135,68.088514,133,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,8,0,0,424800,0,0,0,0,0,0
