Flexsim Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object,Class,stats_contentmin,stats_contentmax,stats_contentavg,stats_input,stats_staytimeavg,idle,waiting for operator,travel empty,travel loaded,loading,unloading,utilize,empty,blocked,processing,offset travel empty,offset travel loaded,stats_content,stats_output,stats_staytimemin,stats_staytimemax,state_current,generating,collecting,releasing,waiting for transporter,breakdown,scheduled down,down,conveying,setup
Material Supermarket _Loading Point_,Queue,2694,3982,3338.262105,0,219686.4459,0,0,0,0,0,0,0,0,0,0,0,0,2694,1288,7293.222605,428635.2382,8,0,0,424800,0,0,0,0,0,0
Line 2 Workstation 1,Processor,0,1,0.993518,129,3275.541423,2753.391535,0,0,0,0,0,0,0,0,421571.647,0,0,1,129,871.134117,6057.00625,2,0,0,0,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 1,Queue,2,131,66.567221,129,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 1,Queue,2,128,65.52122,126,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 2,Queue,0,3,2.057426,129,6746.951614,0,0,0,0,0,0,0,7677.334526,0,0,0,0,1,130,840.686825,11653.15266,8,0,0,416998.9833,0,0,0,0,0,0
Line 1 WIP Buffer Area 3,Queue,0,3,2.043441,132,6547.912634,0,0,0,0,0,0,0,5523.122153,0,0,0,0,3,131,896.194038,13841.85754,8,0,0,419181.7035,0,0,0,0,0,0
Line 1 WIP Buffer Area 4,Queue,0,3,1.995606,133,6372.295544,0,0,0,0,0,0,0,4475.202147,0,0,0,0,2,133,1647.732435,13014.08147,8,0,0,420197.5869,0,0,0,0,0,0
Line 1 WIP Buffer Area 5,Queue,0,3,2.01916,128,6673.951512,0,0,0,0,0,0,0,8597.376542,0,0,0,0,1,130,10.368004,13466.20751,8,0,0,416047.7572,0,0,0,0,0,0
Line 1 Workstation 2,Processor,0,1,0.993856,130,3253.263506,2609.957622,0,0,0,0,0,0,0,0,421711.3566,0,0,1,130,1264.800237,6491.31489,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 3,Processor,0,1,0.99381,131,3194.511227,2629.461563,0,0,0,0,0,0,0,0,421688.1708,0,0,1,131,278.267418,6376.740842,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 4,Processor,0,1,0.993719,133,3173.738362,2668.269431,0,0,0,0,0,0,0,0,421641.9978,0,0,1,133,980.324724,5739.85279,2,0,0,0,0,0,0,0,0,0
