Flexsim Summary Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,432000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Object,Class,stats_contentmin,stats_contentmax,stats_contentavg,stats_input,stats_staytimeavg,idle,waiting for operator,travel empty,travel loaded,loading,unloading,utilize,empty,blocked,processing,offset travel empty,offset travel loaded,stats_content,stats_output,stats_staytimemin,stats_staytimemax,state_current,generating,collecting,releasing,waiting for transporter,breakdown,scheduled down,down,conveying,setup
Material Supermarket _Loading Point_,Queue,2625,3915,3272.469151,0,220413.0973,0,0,0,0,0,0,0,0,0,0,0,0,2625,1290,7538.071807,431878.1135,8,0,0,424800,0,0,0,0,0,0
Line 2 Workstation 1,Processor,0,1,0.993619,127,3316.878319,2710.82315,0,0,0,0,0,0,0,0,421621.5792,0,0,1,127,871.134117,6311.254021,2,0,0,0,0,0,0,0,0,0
Line 2 Finished Goods Buffer Area 1,Queue,2,129,65.816707,127,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 1,Queue,1,128,65.263001,127,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 2,Queue,5,6,5.94974,129,19296.70125,0,0,0,0,0,0,0,0,0,0,0,0,5,130,8276.699496,24407.82938,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 3,Queue,5,6,5.947293,133,18741.67699,0,0,0,0,0,0,0,0,0,0,0,0,6,133,6245.243706,26075.40238,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 4,Queue,5,6,5.945969,132,18957.85201,0,0,0,0,0,0,0,0,0,0,0,0,6,132,8577.236001,25505.01536,8,0,0,424800,0,0,0,0,0,0
Line 1 WIP Buffer Area 5,Queue,5,6,5.945533,130,19153.24513,0,0,0,0,0,0,0,0,0,0,0,0,6,130,7242.630608,26044.35131,8,0,0,424800,0,0,0,0,0,0
Line 1 Workstation 2,Processor,0,1,0.993856,130,3250.143644,2609.957622,0,0,0,0,0,0,0,0,421711.3566,0,0,1,130,1264.800237,6491.31489,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 3,Processor,0,1,0.993716,133,3200.666347,2669.442465,0,0,0,0,0,0,0,0,421640.8255,0,0,1,133,278.267418,6376.740842,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 4,Processor,0,1,0.993765,132,3193.578822,2648.754249,0,0,0,0,0,0,0,0,421665.1952,0,0,1,132,980.324724,5739.85279,2,0,0,0,0,0,0,0,0,0
Line 1 Workstation 5,Processor,0,1,0.993855,130,3254.285654,2610.590928,0,0,0,0,0,0,0,0,421710.7236,0,0,1,130,551.032248,5757.845838,2,0,0,0,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 2,Queue,2,132,66.332128,130,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 3,Queue,1,134,67.48758,133,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 4,Queue,2,134,67.681106,132,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 1 Finished Goods Buffer Area 5,Queue,1,131,65.000513,130,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 1,Queue,5,6,5.948035,127,19605.98832,0,0,0,0,0,0,0,0,0,0,0,0,6,127,9756.660344,27182.99563,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 2,Queue,5,6,5.948849,127,19745.50973,0,0,0,0,0,0,0,0,0,0,0,0,6,127,8445.941209,26928.03577,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 3,Queue,5,6,5.949656,121,20644.14883,0,0,0,0,0,0,0,0,0,0,0,0,6,121,8716.303855,26385.90352,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 4,Queue,5,6,5.945005,131,19130.87412,0,0,0,0,0,0,0,0,0,0,0,0,6,131,6131.07205,24923.15828,8,0,0,424800,0,0,0,0,0,0
Line 2 WIP Buffer Area 5,Queue,5,6,5.945164,132,18867.82026,0,0,0,0,0,0,0,0,0,0,0,0,5,133,8596.090067,27248.69784,8,0,0,424800,0,0,0,0,0,0
Line 2 Workstation 2,Processor,0,1,0.993619,127,3333.728941,2710.826626,0,0,0,0,0,0,0,0,421621.5764,0,0,1,127,546.655109,6154.511372,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 3,Processor,0,1,0.993913,121,3499.807291,2585.74403,0,0,0,0,0,0,0,0,421768.75,0,0,1,121,897.426367,6497.860858,2,0,0,0,0,0,0,0,0,0
Line 2 Workstation 4,Processor,0,1,0.99342,131,3234.330232,2795.312712,0,0,0,0,0,0,0,0,421522.3646,0,0,1,131,710.893308,5751.812541,2,0,0,0,0,0,0,0,0,0
